days_grouped_30,race,voted_abs,n_total,n_voters,n_nonvoters
+30,American Indian or Alaska Native,5.01,33898,12802.0,21096.0
+30,Asian or Pacific Islander,2.06,164383,52176.0,112207.0
+30,"Black, Not Hispanic",0.84,1453661,552854.0,900807.0
+30,Hispanic,0.7,1519987,479916.0,1040071.0
+30,Multi-racial,4.33,43015,12840.0,30175.0
+30,Other,2.45,155479,52539.0,102940.0
+30,Unknown,2.2,172960,52200.0,120760.0
+30,"White, Not Hispanic",0.38,6808237,3035682.0,3772555.0
-30,American Indian or Alaska Native,5.07,34055,12798.0,21257.0
-30,Asian or Pacific Islander,1.97,165686,53420.0,112266.0
-30,"Black, Not Hispanic",0.81,1445035,557657.0,887378.0
-30,Hispanic,0.71,1498228,486371.0,1011857.0
-30,Multi-racial,4.38,44690,13609.0,31081.0
-30,Other,2.06,153829,52022.0,101807.0
-30,Unknown,2.31,174234,53262.0,120972.0
-30,"White, Not Hispanic",0.39,6866871,3081276.0,3785595.0
0,American Indian or Alaska Native,4.02,1155,436.0,719.0
0,Asian or Pacific Islander,1.88,5285,1737.0,3548.0
0,"Black, Not Hispanic",1.49,47915,18761.0,29154.0
0,Hispanic,1.06,49647,16263.0,33384.0
0,Multi-racial,4.95,1472,456.0,1016.0
0,Other,1.85,5108,1723.0,3385.0
0,Unknown,2.43,5618,1790.0,3828.0
0,"White, Not Hispanic",0.63,227629,102374.0,125255.0
