days_grouped_7,race,voted_abs,n_total,n_voters,n_nonvoters
+7,American Indian or Alaska Native,4.83,7893,2921.0,4972.0
+7,Asian or Pacific Islander,1.8,38488,12316.0,26172.0
+7,"Black, Not Hispanic",0.87,337584,128976.0,208608.0
+7,Hispanic,0.78,351054,112697.0,238357.0
+7,Multi-racial,4.67,10097,3020.0,7077.0
+7,Other,2.65,36265,12356.0,23909.0
+7,Unknown,2.04,40202,12200.0,28002.0
+7,"White, Not Hispanic",0.4,1589688,713433.0,876255.0
-7,American Indian or Alaska Native,5.64,7861,2946.0,4915.0
-7,Asian or Pacific Islander,2.11,38004,12293.0,25711.0
-7,"Black, Not Hispanic",0.88,337163,128697.0,208466.0
-7,Hispanic,0.65,349640,112321.0,237319.0
-7,Multi-racial,4.87,10053,2941.0,7112.0
-7,Other,1.85,35984,11927.0,24057.0
-7,Unknown,2.03,40122,11974.0,28148.0
-7,"White, Not Hispanic",0.39,1590998,709237.0,881761.0
0,American Indian or Alaska Native,4.02,1155,436.0,719.0
0,Asian or Pacific Islander,1.88,5285,1737.0,3548.0
0,"Black, Not Hispanic",1.49,47915,18761.0,29154.0
0,Hispanic,1.06,49647,16263.0,33384.0
0,Multi-racial,4.95,1472,456.0,1016.0
0,Other,1.85,5108,1723.0,3385.0
0,Unknown,2.43,5618,1790.0,3828.0
0,"White, Not Hispanic",0.63,227629,102374.0,125255.0
